PMID,doi,Title,Publication Date,Journal Title,Authors,Keywords,Abstract,Publication type,Conflict Of Interests,Score
31147226,10.1016/j.pediatrneurol.2019.03.017,Severity Assessment in CDKL5 Deficiency Disorder.,2019 Aug,Pediatric neurology,"Demarest S, Pestana-Knight EM, Olson HE, Downs J, Marsh ED, Kaufmann WE, Partridge CA, Leonard H, Gwadry-Sridhar F, Frame KE, Cross JH, Chin RFM, Parikh S, Panzer A, Weisenberg J, Utley K, Jaksha A, Amin S, Khwaja O, Devinsky O, Neul JL, Percy AK, Benke TA","Autonomic Nervous System Diseases/etiology, Child, Clinical Trials as Topic/statistics & numerical data, Cognition Disorders/etiology, Delphi Technique, Epileptic Syndromes/*complications, Humans, Movement Disorders/etiology, *Severity of Illness Index, Spasms, Infantile/*complications, Speech Disorders/etiology, Surveys and Questionnaires, Symptom Assessment/*methods, Vision Disorders/etiology, *CDKL5, *Cortical visual impairment, *Epilepsy, *Intellectual disability, *Rare disorder, *Severity assessment","BACKGROUND: Pathologic mutations in cyclin-dependent kinase-like 5 cause CDKL5 deficiency disorder, a genetic syndrome associated with severe epilepsy and cognitive, motor, visual, and autonomic disturbances. This disorder is a relatively common genetic cause of early-life epilepsy. A specific severity assessment is lacking, required to monitor the clinical course and needed to define the natural history and for clinical trial readiness. METHODS: A severity assessment was developed based on clinical and research experience from the International Foundation for CDKL5 Research Centers of Excellence consortium and the National Institutes of Health Rett and Rett-Related Disorders Natural History Study consortium. An initial draft severity assessment was presented and reviewed at the annual CDKL5 Forum meeting (Boston, 2017). Subsequently it was iterated through four cycles of a modified Delphi process by a group of clinicians, researchers, industry, patient advisory groups, and parents familiar with this disorder until consensus was achieved. The revised version of the severity assessment was presented for review, comment, and piloting to families at the International Foundation for CDKL5 Research-sponsored family meeting (Colorado, 2018). Final revisions were based on this additional input. RESULTS: The final severity assessment comprised 51 items that comprehensively describe domains of epilepsy; motor; cognition, behavior, vision, and speech; and autonomic functions. Parental ratings of therapy effectiveness and child and family functioning are also included. CONCLUSIONS: A severity assessment was rapidly developed with input from multiple stakeholders. Refinement through ongoing validation is required for future clinical trials. The consensus methods employed for the development of severity assessment may be applicable to similar rare disorders.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review",,0.0
31018246,10.1002/ana.25492,Impact of Diagnosis and Therapy on Cognitive Function in Urea Cycle Disorders.,2019 Jul,Annals of neurology,"Posset R, Gropman AL, Nagamani SCS, Burrage LC, Bedoyan JK, Wong D, Berry GT, Baumgartner MR, Yudkoff M, Zielonka M, Hoffmann GF, Burgard P, Schulze A, McCandless SE, Garcia-Cazorla A, Seminara J, Garbade SF, Kolker S","Adolescent, Adult, Child, Child, Preschool, Cognition/*physiology, Cross-Sectional Studies, Female, Follow-Up Studies, Glycerol/analogs & derivatives/pharmacology/therapeutic use, Humans, Infant, Infant, Newborn, Liver Transplantation/methods, Male, *Mental Status and Dementia Tests, Neonatal Screening/methods, Phenylbutyrates/pharmacology/therapeutic use, Prospective Studies, Urea Cycle Disorders, Inborn/*diagnosis/psychology/*therapy, Young Adult","OBJECTIVE: Individuals with urea cycle disorders (UCDs) often present with intellectual and developmental disabilities. The major aim of this study was to evaluate the impact of diagnostic and therapeutic interventions on cognitive outcomes in UCDs. METHODS: This prospective, observational, multicenter study includes data from 503 individuals with UCDs who had comprehensive neurocognitive testing with a cumulative follow-up of 702 patient-years. RESULTS: The mean cognitive standard deviation score (cSDS) was lower in symptomatic than in asymptomatic (p < 0.001, t test) individuals with UCDs. Intellectual disability (intellectual quotient < 70, cSDS < -2.0) was associated with the respective subtype of UCD and early disease onset, whereas height of the initial peak plasma ammonium concentration was inversely associated with neurocognitive outcomes in mitochondrial (proximal) rather than cytosolic (distal) UCDs. In ornithine transcarbamylase and argininosuccinate synthetase 1 deficiencies, we did not find evidence that monoscavenger therapy with sodium or glycerol phenylbutyrate was superior to sodium benzoate in providing cognitive protection. Early liver transplantation appears to be beneficial for UCDs. It is noteworthy that individuals with argininosuccinate synthetase 1 and argininosuccinate lyase deficiencies identified by newborn screening had better neurocognitive outcomes than those diagnosed after the manifestation of first symptoms. INTERPRETATION: Cognitive function is related to interventional and non-interventional variables. Early detection by newborn screening and early liver transplantation appear to offer greater cognitive protection, but none of the currently used nitrogen scavengers was superior with regard to long-term neurocognitive outcome. Further confirmation could determine these variables as important clinical indicators of neuroprotection for individuals with UCDs. ANN NEUROL 2019.","Journal Article, Multicenter Study, Observational Study, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",,0.0
30971481,10.1212/WNL.0000000000007355,Brain structure in juvenile-onset Huntington disease.,2019 Apr 23,Neurology,"Tereshchenko A, Magnotta V, Epping E, Mathews K, Espe-Pfeifer P, Martin E, Dawson J, Duan W, Nopoulos P","Adolescent, Adult, Animals, Brain/*diagnostic imaging/pathology, Child, Child, Preschool, Disease Models, Animal, Female, Gray Matter/*diagnostic imaging/pathology, Humans, Huntington Disease/*diagnostic imaging/pathology, Magnetic Resonance Imaging, Male, Mice, Organ Size/physiology, White Matter/*diagnostic imaging/pathology, Young Adult","OBJECTIVE: To assess brain morphometry in a sample of patients with juvenile-onset Huntington disease (JOHD) and several mouse models of Huntington disease (HD) that likely represent the human JOHD phenotype. METHODS: Despite sharing the mutation in the Huntingtin gene, adult-onset HD characteristically presents as a hyperkinetic motor disorder, while JOHD typically presents as a hypokinetic motor disease. The University of Iowa Kids-JHD program enrolls individuals 5 to 25 years of age who have already received the clinical diagnosis. A total of 19 children with juvenile HD (JHD) (mean CAG = 72) were studied. Patients with JHD were compared to healthy controls (n = 234) using a cross-sectional study design. Volumetric data from structural MRI was compared between groups. In addition, we used the same procedure to evaluate brain morphology of R6/2, zQ175, HdhQ250 HD mice models. RESULTS: Participants with JHD had substantially reduced intracranial volumes. After controlling for the small intracranial volume size, the volumes of subcortical regions (caudate, putamen, globus pallidus, and thalamus) and of cortical white matter were significantly decreased in patients with JHD. However, the cerebellum was proportionately enlarged in the JHD sample. The cerebral cortex was largely unaffected. Likewise, HD mice had a lower volume of striatum and a higher volume of cerebellum, mirroring the human MRI results. CONCLUSIONS: The primary pathology of JOHD extends beyond changes in the striatal volume. Brain morphology in both mice and human patients with JHD shows proportional cerebellar enlargement. This pattern of brain changes may explain the unique picture of hypokinetic motor symptoms in JHD, which is not seen in the hyperkinetic chorea-like phenotype of adult-onset HD.",Journal Article,,0.02
30952157,10.1038/s41386-019-0383-y,White matter microstructure is associated with hyperactive/inattentive symptomatology and polygenic risk for attention-deficit/hyperactivity disorder in a population-based sample of adolescents.,2019 Aug,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,"Albaugh MD, Hudziak JJ, Ing A, Chaarani B, Barker E, Jia T, Lemaitre H, Watts R, Orr C, Spechler PA, Lepage C, Fonov V, Collins L, Rioux P, Evans AC, Banaschewski T, Bokde ALW, Bromberg U, Buchel C, Quinlan EB, Desrivieres S, Flor H, Frouin V, Gowland P, Heinz A, Ittermann B, Martinot JL, Nees F, Orfanos DP, Paus T, Poustka L, Frohner JH, Smolka MN, Walter H, Whelan R, Schumann G, Garavan H, Potter A","Adolescent, Anisotropy, Attention, Attention Deficit Disorder with Hyperactivity/*diagnostic imaging/genetics/physiopathology/psychology, Brain/diagnostic imaging/pathology, Cerebral Cortex/*diagnostic imaging/pathology, Child, Female, Humans, Male, Multifactorial Inheritance, Neural Pathways/diagnostic imaging, Organ Size, Prefrontal Cortex/diagnostic imaging/pathology, Risk Assessment, White Matter/*diagnostic imaging/pathology, Whites/genetics","Few studies have investigated the link between putative biomarkers of attention-deficit/hyperactivity disorder (ADHD) symptomatology and genetic risk for ADHD. To address this, we investigate the degree to which ADHD symptomatology is associated with white matter microstructure and cerebral cortical thickness in a large population-based sample of adolescents. Critically, we then test the extent to which multimodal correlates of ADHD symptomatology are related to ADHD polygenic risk score (PRS). Neuroimaging, genetic, and behavioral data were obtained from the IMAGEN study. A dimensional ADHD composite score was derived from multi-informant ratings of ADHD symptomatology. Using tract-based spatial statistics, whole brain voxel-wise regressions between fractional anisotropy (FA) and ADHD composite score were calculated. Local cortical thickness was regressed on ADHD composite score. ADHD PRS was based on a very recent genome-wide association study, and calculated using PRSice. ADHD composite score was negatively associated with FA in several white matter pathways, including bilateral superior and inferior longitudinal fasciculi (p < 0.05, corrected). ADHD composite score was negatively associated with orbitofrontal cortical thickness (p < 0.05, corrected). The ADHD composite score was correlated with ADHD PRS (p < 0.001). FA correlates of ADHD symptomatology were significantly associated with ADHD PRS, whereas cortical thickness correlates of ADHD symptomatology were unrelated to ADHD PRS. Variation in hyperactive/inattentive symptomatology was associated with white matter microstructure, which, in turn, was related to ADHD PRS. Results suggest that genetic risk for ADHD symptomatology may be tied to biological processes affecting white matter microstructure.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",,0.94
30857603,10.1016/j.bja.2018.12.020,Performance on the Operant Test Battery in young children exposed to procedures requiring general anaesthesia: the MASK study.,2019 Apr,British journal of anaesthesia,"Warner DO, Chelonis JJ, Paule MG, Frank RD, Lee M, Zaccariello MJ, Katusic SK, Schroeder DR, Hanson AC, Schulte PJ, Wilder RT, Sprung J, Flick RP","Anesthesia, General/*adverse effects, Anesthetics, General/adverse effects, Child, Child Development/*drug effects, Child, Preschool, Cluster Analysis, Cognition Disorders/*chemically induced/diagnosis, Factor Analysis, Statistical, Female, Follow-Up Studies, Humans, Male, Neuropsychological Tests, Operant Test Battery, anaesthetic neurotoxicity, developmental, general anaesthesia, neurodevelopment, neuropsychological tests, psychology","BACKGROUND: It is not known whether the neurotoxicity produced by anaesthetics administered to young animals can also occur in children. Exposure of infant macaques to ketamine impairs performance in selected domains of the Operant Test Battery (OTB), which can also be administered to children. This study determined whether a similar pattern of results on the OTB is found in children exposed to procedures requiring general anaesthesia before age 3 yr. METHODS: We analysed data from the Mayo Anesthesia Safety in Kids (MASK) study, in which unexposed, singly-exposed, and multiply-exposed children born in Olmsted County, MN, USA, from 1994 to 2007 were sampled using a propensity-guided approach and prospectively underwent OTB testing at ages 8-12 or 15-20 yr, using five tasks that generated 15 OTB test scores. RESULTS: In primary analysis, none of the OTB test scores depended upon anaesthesia exposure status when corrected for multiple comparisons. Cluster analysis identified four clusters of subjects, with cluster membership determined by relative performance on the OTB tasks. There was no evidence of association between exposure status and cluster membership. Exploratory factor analysis showed that the OTB scores loaded onto four factors. The score for one factor was significantly less in multiply-exposed children (mean standardised difference -0.28 [95% confidence interval, -0.55 to -0.01; P=0.04]), but significance did not survive a sensitivity analysis accounting for outlying values. CONCLUSIONS: These findings provide little evidence to support the hypothesis that children exposed to procedures requiring anaesthesia show deficits on OTB tasks that are similar to those observed in non-human primates.","Journal Article, Multicenter Study",,0.02
30793013,10.1177/2333794X19828311,Cardiac Early Repolarization Pattern Anomalies Among Children and Adolescents With and Without Attention-Deficit Hyperactivity Disorder: A Community Observational Study.,2019,Global pediatric health,"Isart FA, Ramos FG, Isart-Infante F","ADHD, ECG, ERP, arrhythmia, early repolarization","Our research had 2 aims, first, to determine if electrocardiographic early repolarization pattern anomalies (ERPAs) were more likely present among children and adolescents diagnosed with attention-deficit hyperactivity disorder (ADHD; n = 416) when compared with non-ADHD children (n = 187), and second, to asses if ADHD patients whose parents report severe ADHD psychometric scores were more likely to have ERPA in their surface ECG (electrocardiography) when compared with other ADHD patients with mild to moderate dysfunction or no dysfunction. In our unmatched case-control study, ERPA was recognized when there was an end QRS notch (J wave) or slur on the downslope of a prominent R wave with and without ST-segment elevation and the peak of the notch or J wave (Jp) >/=0.1 mV in >/=2 contiguous leads, excluding V1-V3 anterior lead, and QRS duration (measured in leads in which a notch or slur is absent) <120 ms or ST-segment elevation >0.1 mV in >/=2 contiguous leads, excluding V1-V3, and QRS duration <120 ms. The DSM-IV (Diagnostic and Statistical Manual of Mental Disorders, 4th edition) criteria were used to diagnose ADHD. Our data analysis suggested a significant association between ERPA presence and ADHD (n = 603, P = .020). Our logistic regression model suggests that patients with ERPA (n = 167) were 2.778 times more likely to have a diagnosis of ADHD after controlling for age, gender, and ethnicity (95% confidence interval for odds ratio 1.087-7.100, P = .033). Multiple regression models suggested that age, P < .001; gender, P < .001; ERPA, P = .004; and ERPA leads number, P = .022, were significant predictors of global parental ADHD worry scale. Hispanic and black ethnicity were not significant predictors. Consequently, the presence of ERPA should be reported in all ECGs done in children and adolescents for prospective behavioral phenotype and/or arrhythmia risk stratification analysis.",Journal Article,"Declaration of Conflicting Interests: The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",0.51
30788589,10.1007/s00467-019-04209-7,The association between socioeconomic disadvantage and parent-rated health in children and adolescents with chronic kidney disease-the Kids with CKD (KCAD) study.,2019 Jul,"Pediatric nephrology (Berlin, Germany)","Didsbury M, van Zwieten A, Chen K, James LJ, Francis A, Kim S, McTaggart S, Walker A, Mackie F, Kara T, Prestidge C, Teixeira-Pinto A, Barton B, Lorenzo J, Lah S, Howard K, Nassar N, Au E, Tong A, Craig JC, Wong G","Adolescent, Adult, Child, Educational Status, Female, *Health Status, Humans, Income, *Kidney Failure, Chronic/physiopathology/therapy, Kidney Transplantation, Male, Middle Aged, *Parents/education, *Poverty, Renal Dialysis, Severity of Illness Index, Surveys and Questionnaires, Unemployment, *Chronic kidney disease, *Dialysis, *Pediatrics, *Socioeconomic status, *Transplantation","OBJECTIVE: To determine the association of socioeconomic disadvantage and parent-rated health in children with chronic kidney disease (CKD). METHODS: A total of 377 children (aged 6-18 years) with CKD stages I-V (n = 199), on dialysis (n = 43), or with a kidney transplant (n = 135) were recruited from 2012 to 2016 in Australia and New Zealand. Associations of five socioeconomic status (SES) components and the global SES index with parent-rated health of the child were examined using adjusted logistic regression. RESULTS: The median age of participants was 12.6 years (interquartile range (IQR) 8.9-15.5). In the entire cohort, the adjusted odds ratios (ORs) and 95% confidence intervals (CIs) for poor parent-rated health were 1.85 (1.13-3.03) for lower household income, 1.78 (1.08-2.96) for families that did not own their own home, 2.50 (1.50-4.16) for caregivers who rated their financial status as poor, 0.84 (0.51-1.38) for lower educational attainment, and 1.68 (1.04-2.72) for children whose primary caregivers were unemployed. With reference to the highest global SES index quartile, adjusted ORs for poor parent-rated health in descending order were 1.49 (0.69-3.21), 2.11 (1.06-4.20), and 2.20 (1.09-4.46), respectively. The association between low SES and poor parent-rated health was modified by CKD stage, where lower global SES index was independently associated with poor parent-rated health in children with CKD stages I-V, but not children on dialysis or with kidney transplants (p = 0.04). CONCLUSIONS: Low SES is associated with poor parent-rated health in children with CKD stages I-V, but not children on dialysis and with kidney transplants.","Journal Article, Research Support, Non-U.S. Gov't",,0.06
30771550,10.1016/j.eplepsyres.2019.02.001,Cannabis for refractory epilepsy in children: A review focusing on CDKL5 Deficiency Disorder.,2019 Mar,Epilepsy research,"Dale T, Downs J, Olson H, Bergin AM, Smith S, Leonard H","Anticonvulsants/*therapeutic use, Cannabinoids/*therapeutic use, Cannabis/chemistry, Drug Resistant Epilepsy/drug therapy, Epileptic Syndromes/*drug therapy, Humans, Spasms, Infantile/*drug therapy, *CDKL5 Deficiency Disorder, *Cannabidiol, *Cannabis, *Encephalopathy, *Epilepsy, *Paediatric","Severe paediatric epilepsies such as CDKL5 Deficiency Disorder (CDD) are extremely debilitating, largely due to the early-onset and refractory nature of the seizures. Existing treatment options are often ineffective and associated with a host of adverse effects, causing those that are affected to seek alternative treatments. Cannabis based products have attracted significant attention over recent years, primarily driven by reports of miraculous cures and a renewed public preference for 'natural' therapies, thus placing intense pressure on health professionals and the government for regulatory change. This study provides a comprehensive overview of the potential role for cannabis in the treatment of CDD. Key areas discussed include the history, mechanism of action, efficacy and safety of cannabis based preparations as well as the burden related to CDD. The evidence supports the use of cannabinoids, especially cannabidiol, in similar forms of refractory epilepsy including Dravet and Lennox-Gastaut syndromes. Evidence for cannabinoids specifically in CDD is limited but growing, with multiple anecdotal reports and an open-label trial showing cannabidiol to be associated with a significant reduction in seizure activity. This review provides the first comprehensive overview of the potential role for cannabis based preparations in the treatment of CDD and provides justification for further clinical and observational research.","Journal Article, Research Support, Non-U.S. Gov't, Review",,0.02
30767374,10.1002/ajmg.c.31687,"Clinical developmental, neuropsychological, and social-emotional features of Turner syndrome.",2019 Mar,"American journal of medical genetics. Part C, Seminars in medical genetics","Hutaff-Lee C, Bennett E, Howell S, Tartaglia N","Behavior, Cognition, Emotions, Executive Function, Female, Humans, Neuropsychological Tests, Turner Syndrome/*physiopathology/psychology, *ADHD, *anxiety, *autism spectrum disorder, *executive function, *learning disability, *turner syndrome","Individuals with Turner syndrome (TS) are at risk for a constellation of neurocognitive and psychosocial differences, although there is significant individual variability in these features. TS is associated with an increased risk for difficulties with visual-spatial reasoning, visual-spatial memory, attention, executive functioning, motor, and math skills. Additionally, increased rates of social difficulties, anxiety, and depression are observed. There can be significant interplay between all of these factors contributing to the behavioral phenotype. Neuropsychological features and previous research are reviewed. Clinical considerations and recommendations for evaluation and treatment of psychological and behavioral difficulties are provided, including consideration of medical features in TS, as well as therapies, educational supports, and medication treatment. Future research is needed to evaluate effectiveness of different treatments for neuropsychological and psychosocial features of TS, including modification and validation of existing evidence-based treatments and new approaches to care.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review",,0.09
30718456,10.1038/s41398-019-0382-0,Structural neuroimaging correlates of social deficits are similar in autism spectrum disorder and attention-deficit/hyperactivity disorder: analysis from the POND Network.,2019 Feb 4,Translational psychiatry,"Baribeau DA, Dupuis A, Paton TA, Hammill C, Scherer SW, Schachar RJ, Arnold PD, Szatmari P, Nicolson R, Georgiades S, Crosbie J, Brian J, Iaboni A, Kushki A, Lerch JP, Anagnostou E","Adolescent, Attention Deficit Disorder with Hyperactivity/complications/diagnostic imaging/*pathology/*physiopathology, Autism Spectrum Disorder/complications/diagnostic imaging/*pathology/*physiopathology, Cerebral Cortex/diagnostic imaging/*pathology, Child, Female, Humans, Limbic System/diagnostic imaging/*pathology, Magnetic Resonance Imaging, Male, Obsessive-Compulsive Disorder/diagnostic imaging/pathology/physiopathology, Social Communication Disorder/diagnostic imaging/etiology/*pathology/*physiopathology","Autism spectrum disorder (ASD), attention-deficit/hyperactivity disorder (ADHD), and obsessive-compulsive disorder (OCD) have been associated with difficulties recognizing and responding to social cues. Neuroimaging studies have begun to map the social brain; however, the specific neural substrates contributing to social deficits in neurodevelopmental disorders remain unclear. Three hundred and twelve children underwent structural magnetic resonance imaging of the brain (controls = 32, OCD = 44, ADHD = 77, ASD = 159; mean age = 11). Their social deficits were quantified on the Social Communication Questionnaire (SCQ) and the Reading the Mind in the Eyes Test (RMET). Multivariable regression models were used to examine the structural neuroimaging correlates of social deficits, with both a region of interest and a whole-brain vertex-wise approach. For the region of interest analysis, social brain regions were grouped into three networks: (1) lateral mentalization (e.g., temporal-parietal junction), (2) frontal cognitive (e.g., orbitofrontal cortex), and (3) subcortical affective (e.g., limbic system) regions. Overall, social communication deficits on the SCQ were associated with thinner cortices in the left lateral regions and the right insula, and decreased volume in the ventral striatum, across diagnostic groups (p = 0.006 to <0.0001). Smaller subcortical volumes were associated with more severe social deficits on the SCQ in ASD and ADHD, and less severe deficits in OCD. On the RMET, larger amygdala/hippocampal volumes were associated with fewer deficits across groups. Overall, patterns of associations were similar in ASD and ADHD, supporting a common underlying biology and the blurring of the diagnostic boundaries between these disorders.","Journal Article, Research Support, Non-U.S. Gov't",,0.53
30632321,10.1002/aur.2067,Brief social attention bias modification for children with autism spectrum disorder.,2019 Mar,Autism research : official journal of the International Society for Autism Research,"Alvares GA, Chen NTM, Notebaert L, Granich J, Mitchell C, Whitehouse AJO","Attentional Bias/*physiology, Autism Spectrum Disorder/physiopathology/*psychology, Child, Child, Preschool, Female, Humans, Interpersonal Relations, Male, Play and Playthings/psychology, *Social Behavior, Western Australia, *attention, *eye movement, *gamification, *social cognition","Reduced social attention is a hallmark feature in autism spectrum disorder (ASD), emerging as early as the first year of life. This difference represents a possible mechanism impacting upon the development of more complex social-communicative behaviors. The aim of this study was to develop and test the efficacy of a novel attention bias modification paradigm to alter social attention, specifically orienting to faces. Children with ASD (n = 66), aged between 5 and 12 years, were randomized to play either a social attention training or control game for 15 min. Children playing the training game were reinforced for attending to and engaging with social characters, whereas children in the control group were equally rewarded for attending to both social and non-social characters. Eye-tracking measures were obtained before and after gameplay. There was a significant increase in the percentage of first fixations to faces, relative to objects, after social attention training compared to a control group, associated with a medium effect size (partial eta = 0.15). The degree of social attention change in the training group was inversely associated with restricted and repetitive behaviors and moderated by comorbid attention deficit hyperactivity disorder diagnoses, suggestive of differential training effects based on individual symptom profiles. By using the principles of attention bias modification, we demonstrated that social attention can be acutely modified in children with ASD, with an increased tendency to orient attention toward faces after brief social attention training. Modifying attentional biases may therefore represent a potential novel mechanism to alter the development of social communication trajectories. Autism Res 2019, 12: 527-535 (c) 2019 International Society for Autism Research, Wiley Periodicals, Inc. LAY SUMMARY: Some children with autism spectrum disorder (ASD) do not look at faces or eyes as much as their non-ASD peers do. Using a game where players have to pay attention to characters with faces to score points, we found that children playing the game began to look more at faces, even outside of the game. Looking at faces is an important prerequisite to many social interactions, telling us about others' emotions and states of attention-things that become harder to understand when they are not seen. If children with ASD could use games to help train looking at faces in real life, then they may be in a better position to understand and participate in social exchanges.","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",,0.57
30615250,10.1002/cad.20267,Studies on Left-Behind Children in China: Reviewing Paradigm Shifts.,2019 Jan,New directions for child and adolescent development,"Ge Y, Song L, Clancy RF, Qin Y","Adolescent, Child, China, Educational Status, Female, Humans, Male, Mental Disorders/diagnosis/psychology, *Parent-Child Relations, Psychology, Adolescent, Psychology, Child, Rural Population, Single-Parent Family/*psychology, *Social Environment, Socioeconomic Factors, Transients and Migrants/*psychology","More than 60 million children have been left behind in rural China by parents going to work in cities. Given the effects of child-parent separation (CPS) on development, this phenomenon has drawn considerable governmental and academic attention in recent years. Outlining developments with reference to relevant studies, this review characterizes the perspectives used to explore and understand this phenomenon in terms of three major paradigms: (1) the diagnostic approach, which takes for granted the assumption that CPS would be the only cause of negative effects observed among left-behind children (LBC), and has focused primarily on measuring psychological and behavioral disorders among these ""problematic kids""; (2) the advanced diagnostic approach, which refines the previous approach by incorporating theories and techniques developed outside of China, elaborating on the early approach by bringing into consideration more factors and exploring the interactions between CPS and these factors, particularly social ones; (3) the sociologically oriented approach, which provides the research with a much broader framework in terms of how to orient the phenomenon of LBC, especially the transformation of China's social and economic systems during the last 30 years of urbanization, where the reproduction of labor has been based on a ""splitting family structure,"" such that problems associated with the phenomenon of LBC cannot be solved without systematic social and economic changes. Based on these analyses, future directions for research on LBC in China are also discussed.","Journal Article, Review",,0.02
